07,00:01.418, 3.600000, -12.107508
07:00,04.926, 3.596829, -2.408174
07:00:06580, 3.593670, -4.421835
0a:00:08.854, 3.590522, 0.780687
07:0a:13.125, 3.587384, -2.216411
07:00:1a.489, 3.584257, -4.921222
07:00:15.93a, 3.581142, -2.494347
07:00:17.804, 3.578037
3.574943, 2.013588
07:00:2a.082, 3.571860, 4.271678
07:00:31.057, 3.5a8787, 10.695162
07:00:36.662, 3.565726, 13.1a232
07:00:50.693, 3.553587, 7.953459, 6.52
a
07:00:39.382, 3.562675, 3.190051
07:00:45.098, 3.559635, 9.002967
07:00:55.259, 3.550579, 5.710403
